9-Layer SendToString — Encode/Decode table (implemented set)
blend model: out = round((src*128 + dst*127)/255); bottom alpha 1

Layer legend (top -> bottom):
  L1 = R2 (top)
  L2 = G38
  L3 = G4
  L4 = B46
  L5 = B222
  L6 = B62
  L7 = R124
  L8 = G252
  L9 = B255 (bottom, alpha 1)

mask bits เรียง L9..L1 (ซ้าย = ชั้นล่างสุด); 1 = layer เปิด

mask(L9..L1)   layers ON                            R   G   B   hex
------------------------------------------------------------------------
110011100      L3+L4+L5+L8+L9                       0  17  55   0x001137
110011101      L1+L3+L4+L5+L8+L9                    1   8  27   0x01081B
110011110      L2+L3+L4+L5+L8+L9                    0  28  27   0x001C1B
110011111      L1+L2+L3+L4+L5+L8+L9                 1  14  13   0x010E0D
110100000      L6+L8+L9                             0  63  94   0x003F5E
110100001      L1+L6+L8+L9                          1  31  47   0x011F2F
110100010      L2+L6+L8+L9                          0  50  47   0x00322F
110100011      L1+L2+L6+L8+L9                       1  25  23   0x011917
110100100      L3+L6+L8+L9                          0  33  47   0x00212F
110100101      L1+L3+L6+L8+L9                       1  16  23   0x011017
110100110      L2+L3+L6+L8+L9                       0  36  23   0x002417
110100111      L1+L2+L3+L6+L8+L9                    1  18  11   0x01120B
110101000      L4+L6+L8+L9                          0  31  70   0x001F46
